id;proposed_by_id;title;year;description;link;image;submission_date
41;;"""Pride and Prejudice"" by English author Jane Austen is published in Whitehall, London";1813;;https://en.wikipedia.org/wiki/Pride_and_Prejudice;1813_Pride_and_Prejudice.jpeg;
42;;"Antonio Canova finishes sculpting ""Pauline Bonaparte as Venus Victrix""";1808;;https://en.wikipedia.org/wiki/Venus_Victrix_(Canova);1808_Paolina_Borghese_(Canova).jpg;
43;;The renowned Père Lachaise Cemetery is established in Paris;1804;;https://en.wikipedia.org/wiki/P%C3%A8re_Lachaise_Cemetery;1804_Pere_Lachaise_Chemin_Errazu.jpg;
44;;"First edition of ""Lyrical Ballads"" by the English poet Samuel Taylor Coleridge";1798;;https://en.wikipedia.org/wiki/The_Rime_of_the_Ancient_Mariner;1798_Ancient_Mariner_Illustration.jpg;
45;;"Wolfgang Amadeus Mozart composes ""The Marriage of Figaro""";1786;;https://en.wikipedia.org/wiki/The_Marriage_of_Figaro;1786_Nozze_di_Figaro_Scene_19th_century.jpg;
46;;"German philosopher Immanuel Kant publishes his ""Critique of Pure Reason""";1781;;https://en.wikipedia.org/wiki/Critique_of_Pure_Reason;1781_Immanuel_Kant_portrait_c1790.jpg;
47;;United States Declaration of Independence is adopted in Philadelphia;1776;;https://en.wikipedia.org/wiki/United_States_Declaration_of_Independence;1776_United_States_Declaration_of_Independence.jpg;
48;;"Novel ""A Sentimental Journey Through France and Italy"" is written and published by Laurence Sterne";1768;;https://en.wikipedia.org/wiki/A_Sentimental_Journey_Through_France_and_Italy;1768_Laurence_Sterne_Sentimental_Journey.jpg;
49;;"Johann Winckelmann publishes his ""Geschichte der Kunst des Alterthums"" (""The History of Art in Antiquity"")";1764;;https://en.wikipedia.org/wiki/Johann_Joachim_Winckelmann;1764_Geschichte_der_Kunst_des_Altertums.jpg;
50;;English fine china, porcelain and luxury accessories manufacturer Wedgwood is founded;1759;;https://en.wikipedia.org/wiki/Wedgwood;1759_Wedgwood.jpg;
51;;Venetian painter Rosalba Carriera known for her pastel portraits dies aged 84;1757;;https://en.wikipedia.org/wiki/Rosalba_Carriera;1757_Rosalba_Carriera.jpg;
52;;"The suite in D major for wind instruments ""Music for the Royal Fireworks"" is composed by George F. Handel";1749;;https://en.wikipedia.org/wiki/Music_for_the_Royal_Fireworks;1749_Fireworks_Music_Handel.jpg;
53;;The Treaty of Aix-la-Chapelle (Aachen) ends the War of the Austrian Succession;1748;;https://en.wikipedia.org/wiki/Treaty_of_Aix-la-Chapelle_(1748);1748_Allegory_Aix-la-Chapelle_Peace.jpg;
54;;"The Anglo-Irish writer and clergyman Jonathan Swift publishes ""Gulliver's Travels""";1726;;https://en.wikipedia.org/wiki/Gulliver%27s_Travels;1726_Gulliver.jpg;
55;;Philosopher, historian, economist, librarian and essayist David Hume is born in Edinburgh, Scotland;1711;;https://en.wikipedia.org/wiki/David_Hume;1711_birth_David_Hume.jpg;
56;;Thomas Savery develops the first commercial steam-powered device: a water pump;1698;;https://en.wikipedia.org/wiki/Thomas_Savery;1698_Fire_pump_Savery_system.jpg;
57;;"Isaac Newton publishes the ""Philosophiæ Naturalis Principia Mathematica""";1687;;https://en.wikipedia.org/wiki/Philosophi%C3%A6_Naturalis_Principia_Mathematica;1687_Portrait_of_Sir_Isaac_Newton.jpg;
58;;The Ottoman Empire is defeated in the second Siege of Vienna;1683;;https://en.wikipedia.org/wiki/Battle_of_Vienna;1683_The_Turkish_siege_of_Vienna.jpg;
59;;China conquers the Kingdom of Tungning and annexes Taiwan;1683;;https://en.wikipedia.org/wiki/Taiwan_under_Qing_rule;1683_Flag_of_China.png;
60;;The Great Fire of London takes place;1666;;https://en.wikipedia.org/wiki/Great_Fire_of_London;1666_Great_Fire_London.jpg;
61;;"Masterpiece ""Girl with a Pearl Earring"" by Dutch painter Jan Vermeer";1665;;https://en.wikipedia.org/wiki/Girl_with_a_Pearl_Earring;1665_Meisje_met_de_parel.jpg;
62;;"Diego Velázquez paints his world-renowned masterpiece ""Las Meninas""";1656;;https://en.wikipedia.org/wiki/Las_Meninas;1656_Las_Meninas_by_Diego_Velazquez.jpg;
63;;The Taj Mahal, a mausoleum on the right bank of the river Yamuna in Agra, Uttar Pradesh, India, is completed;1653;;https://en.wikipedia.org/wiki/Taj_Mahal;1653_Taj_Mahal_Agra_India.jpg;
64;;"""The Night Watch"", one of the most famous Dutch Golden Age paintings, is completed by Rembrandt van Rijn";1642;;https://en.wikipedia.org/wiki/The_Night_Watch;1642_The_Night_Watch.jpg;
65;;"The ""Discourse on the Method"" by René Descartes is published in Leiden, in the Netherlands";1637;;https://en.wikipedia.org/wiki/Discourse_on_the_Method;1637_Discourse_Method_Rene_Descartes.jpg;
66;;"""Dialogue Concerning the Two Chief World Systems"" by astronomer, physicist and engineer Galileo Galilei";1632;;https://en.wikipedia.org/wiki/Dialogue_Concerning_the_Two_Chief_World_Systems;1632_Galileo_Dialogo.jpg;
67;;"Tragedy ""Macbeth"" by William Shakespeare is first performed";1606;;https://en.wikipedia.org/wiki/Macbeth;1606_Macbeth.jpg;
68;;Rialto Bridge in Venice, designed by Antonio da Ponte, is completed;1591;;https://en.wikipedia.org/wiki/Rialto_Bridge;1591_Ponte_di_Rialto.jpg;
69;;The Treaty of Constantinople is signed between the Ottoman Empire (Turkey) and the Safavid Empire (Iran);1590;;https://en.wikipedia.org/wiki/Ottoman%E2%80%93Safavid_War_(1578%E2%80%931590);1590_Ottoman_Safavid_Wars.jpg;
70;;The Gregorian calendar, used in most parts of the world, goes into effect;1582;;https://en.wikipedia.org/wiki/Gregorian_calendar;1582_Gregorian_calendar.png;
71;;Death of Suleiman the Magnificent, the longest-reigning sultan of the Ottoman Empire;1566;;https://en.wikipedia.org/wiki/Suleiman_the_Magnificent;1566_Emperor_Suleiman.jpg;
72;;The Battle of Djerba takes place near the island of Djerba, Tunisia, resulting in an Ottoman victory;1560;;https://en.wikipedia.org/wiki/Battle_of_Djerba;1560_Battle_of_Djerba.jpg;
73;;Elizabeth I, the last monarch of the House of Tudor, becomes Queen of England and Ireland at the age of 25;1558;;https://en.wikipedia.org/wiki/Elizabeth_I;1558_Portrait_of_Queen_Elizabeth_I.jpg;
74;;"Michelangelo finishes painting his masterpiece fresco ""The Last Judgment"" in the Sistine Chapel";1541;;https://en.wikipedia.org/wiki/The_Last_Judgment_(Michelangelo);1541_Last_Judgement_(Michelangelo).jpg;
75;;Coronation of Charles V as Holy Roman Emperor (last emperor to receive a papal coronation);1530;;https://en.wikipedia.org/wiki/Charles_V,_Holy_Roman_Emperor;1530_The_Coronation_of_Charles_V_(1500-58).jpg;
76;;Siege of Vienna, first attempt by the Ottoman Empire to capture the capital of the Holy Roman Empire;1529;;https://en.wikipedia.org/wiki/Siege_of_Vienna_(1529);1529_Siege_of_Vienna.jpg;
77;;Martin Luther writes his Ninety-five Theses giving origin to Protestantism;1517;;https://en.wikipedia.org/wiki/Ninety-five_Theses#;1517_Luther_95_Thesen.png;
78;;Albrecht Dürer paints his Self-Portrait, or Self-Portrait at Twenty-Eight;1500;;https://en.wikipedia.org/wiki/Self-Portrait_(D%C3%BCrer,_Munich);1500_Duerer_Selbstbildnis_Alte_Pinakothek.jpg;
